District,Mandal,Village,Survey No
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,7/D/2/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,7/D/2/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,7/D/2/3
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,7/E
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,7/E/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,8
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,8/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,9/A/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,9/A/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,9/A/3/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,9/A/3/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,9/A/3/3
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,9/A/3/4
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,9/B/1/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,9/B/1/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,9/B/1/3
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,9/B/2/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,9/B/2/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,9/B/2/3
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,10/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,10/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,11/A/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,11/A/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,11/A/3
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,11/A/4
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,12/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,12/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,12/3
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,13/2/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,13/2/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,13/3
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,14
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,14/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,15/1/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,15/1/3
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,15/2/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,15/2/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,15/2/3
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,15/2/4/అ
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,15/2/4/ఆ
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,16/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,16/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,16/3
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,16/4
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,16/5
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,16/6
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/10/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/11
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/11/1/అ
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/11/1/ఆ
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/11/1/ఇ
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/12
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/1/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/13
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/14/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/14/1/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/14/1/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/14/1/3
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/14/1/4
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/14/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/15
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/15/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/16/1/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/16/1/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/16/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/17/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/18
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/19
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/3/అ
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/3/ఆ
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/3/ఇ
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/5
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/6/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/6/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/6/2/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/7
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/7/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/8
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/8/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/8/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/8/3
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/8/4
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/9/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/9/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,17/9/3
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,19
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,19/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/10
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/11
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/12
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/13
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/14
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/15
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/3/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/3/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/4
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/5
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/6
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/7
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/8
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/9
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,20/A
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,21/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,21/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,21/3
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,21/4
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,22/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,22/10
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,22/10/1
